# 同音候選的頻率先驗壓縮係數
#
# 格式：讀音<TAB>alpha
#   alpha = 1.0  完全採信字詞頻率（原本的行為）
#   alpha = 0.0  同音候選之間不比頻率，只由句末神經重排的上下文判斷決定
#
# 為什麼需要：語言模型只看字詞常不常用，而同音字之間的頻率差可以到上百倍
# （「的」比「得」常見約 180 倍）。兩個字都合法時高頻字永遠贏，上下文訊號
# 蓋不過去 —— 實測「該打得的句子」引擎只選對 6.6%、「坐」只有 18.4%。
#
# 數值來源與驗證：2026-08-10 在北極星 EX1166 v2（5,646 題，封存集 1,521 題）
# 上做對照實驗，逐題比對、McNemar 配對檢定：
#
#   封存集總計   59.9% → 62.6%   84 題改對、43 題改錯   p=0.0004  ✅
#     在再       55.0% → 67.3%   41 對 / 14 錯          p=0.0005  ✅
#     作做坐座    40.0% → 48.9%   17 對 /  1 錯          p=0.0004  ✅
#     前錢       65.9% → 68.2%   14 對 / 10 錯          p=0.54    雜訊
#     的得       56.6% → 56.9%    1 對 /  0 錯          無效果
#     吧八巴      無變化（本來就沒列）
#
# 結論：這個機制的效果**集中在在再與作做坐座兩組**，其餘組沒有用。
# 特別是「的／得」壓了等於沒壓 —— 那組只有文法規則有效，見 ParticleRuleDisambiguator。
#
# 更早那份「五組進步 2.2~10.1 分」是 1,410 題時代的數字，量法有瑕疵（在同一份
# 資料上選參數又報成績、逐組報小樣本百分比），已作廢。
#
# ⚠️ 這個機制有真實代價，不是免費的
#
# 一句話裡常常不只一個位置的讀音在這張表裡（實測 15~21% 的句子如此）。
# 壓縮會讓引擎在那些位置也更容易選低頻字，而低頻字有時候是錯的 ——
# 於是句子被改壞，連帶影響目標位置。
#
# 2026-08-10 全表同時生效的實測（每組單獨量會高估效果，這才是真實數字）：
#
#   在/再      64.0 → 73.1   +9.1
#   作做坐座    48.5 → 59.2  +10.7
#   的/得      51.1 → 53.6   +2.5
#   吧/八/巴   47.1 → 47.6   +0.5   （沒列在表裡，被別的位置間接影響）
#   較/叫      66.2 → 65.4   −0.8   ← 退步
#   前/錢      58.2 → 56.7   −1.5   ← 退步
#   ────────────────────────────────
#   淨效果 +20.5 分 / 6 組 ≈ 平均 +3.4
#
# 兩組退步的原因是上面說的跨位置干擾（主要是句子裡的「的」和「在/再」被壓）。
# 目前接受這個代價，因為兩組的大幅進步遠超過兩組的小幅退步。
# 要消除退步的話，方向是「只壓真正的目標位置」，但執行時不知道哪裡是目標位置。
#
# ⚠️ 沒列在這裡的讀音「不會被直接壓縮」，但仍可能因為同句其他位置被壓而間接改變。
ㄉㄜ˙	0.0
ㄗㄞˋ	0.0
ㄗㄨㄛˋ	0.0
ㄑㄧㄢˊ	0.0
# ㄐㄧㄠˋ（較/叫）2026-08-10 移除 —— 在 5,646 題的新題庫上兩邊都是負的
# （train −12 題、封存集 −7 題，合計 29 題改對、48 題改錯）。單獨看都不顯著，
# 但方向一致、合起來 p≈0.04，而且這組本來就沒有「高頻是統計偶然」的理由。
# ⚠️ 這個移除是「看了封存集才決定的」，所以下一份文件裡的 +2.7 分是
#    **還含著它**的保守數字。移除的效果要等下一次獨立測量才算數。
# ㄅㄚ（吧/八/巴）刻意不列 —— 實測壓縮反而變差（47.1 → 44.0）。
# 「吧」的高頻是真實的語言規律（句尾語氣詞就是常出現），不是統計偶然，
# 壓掉它等於丟失正確訊號。這是這個機制的邊界：只對「高頻是統計偶然」的組有效。
